,age_bucket,country_destination,gender_x,population_in_thousands_x,key_x,join_key,gender_y,population_in_thousands_y,key_y
0,100+,AU,female,4,100+_AU,100+_AU,male,1,100+_AU
2,95-99,AU,female,25,95-99_AU,95-99_AU,male,9,95-99_AU
4,90-94,AU,female,94,90-94_AU,90-94_AU,male,47,90-94_AU
6,85-89,AU,female,179,85-89_AU,85-89_AU,male,118,85-89_AU
8,80-84,AU,female,252,80-84_AU,80-84_AU,male,199,80-84_AU
10,75-79,AU,female,338,75-79_AU,75-79_AU,male,298,75-79_AU
12,70-74,AU,female,438,70-74_AU,70-74_AU,male,415,70-74_AU
14,65-69,AU,female,592,65-69_AU,65-69_AU,male,574,65-69_AU
16,60-64,AU,female,660,60-64_AU,60-64_AU,male,636,60-64_AU
18,55-59,AU,female,739,55-59_AU,55-59_AU,male,714,55-59_AU
20,50-54,AU,female,798,50-54_AU,50-54_AU,male,778,50-54_AU
22,45-49,AU,female,793,45-49_AU,45-49_AU,male,778,45-49_AU
24,40-44,AU,female,838,40-44_AU,40-44_AU,male,820,40-44_AU
26,35-39,AU,female,801,35-39_AU,35-39_AU,male,797,35-39_AU
28,30-34,AU,female,865,30-34_AU,30-34_AU,male,881,30-34_AU
30,25-29,AU,female,851,25-29_AU,25-29_AU,male,895,25-29_AU
32,20-24,AU,female,787,20-24_AU,20-24_AU,male,820,20-24_AU
34,15-19,AU,female,737,15-19_AU,15-19_AU,male,768,15-19_AU
36,10-14,AU,female,707,10-14_AU,10-14_AU,male,743,10-14_AU
38,5-9,AU,female,745,5-9_AU,5-9_AU,male,784,5-9_AU
40,0-4,AU,female,781,0-4_AU,0-4_AU,male,824,0-4_AU
43,75-79,CA,female,530,75-79_CA,75-79_CA,male,446,75-79_CA
45,35-39,CA,female,1192,35-39_CA,35-39_CA,male,1189,35-39_CA
47,25-29,CA,female,1220,25-29_CA,25-29_CA,male,1273,25-29_CA
49,30-34,CA,female,1240,30-34_CA,30-34_CA,male,1262,30-34_CA
51,60-64,CA,female,1142,60-64_CA,60-64_CA,male,1094,60-64_CA
53,85-89,CA,female,300,85-89_CA,85-89_CA,male,183,85-89_CA
54,95-99,CA,female,42,95-99_CA,95-99_CA,male,13,95-99_CA
56,100+,CA,female,7,100+_CA,100+_CA,male,1,100+_CA
58,50-54,CA,female,1391,50-54_CA,50-54_CA,male,1400,50-54_CA
60,70-74,CA,female,715,70-74_CA,70-74_CA,male,650,70-74_CA
62,55-59,CA,female,1305,55-59_CA,55-59_CA,male,1287,55-59_CA
64,45-49,CA,female,1217,45-49_CA,45-49_CA,male,1232,45-49_CA
